brand,model,first_registration,kilometers,engine,transmission
Volkswagen,Passat Variant 2.0 TDI Highli...,2011,264000,diesel,avtomatski

Volkswagen,Polo 1.2 TSI Highline,2012,91231,bencinski,ročni

Volkswagen,Golf D servo volan,1987,300000,diesel,ročni

Volkswagen,Golf 1.9 TDI,2007,250000,diesel,ročni

Volkswagen,Golf 2.0 TSI GTI,2010,260000,bencinski,ročni

Volkswagen,Polo 1.6 TDI Highline,2012,225000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Trendl...,2003,248000,diesel,ročni

Volkswagen,Tiguan 2.0 TDI 4motion BMT Sp...,2011,205000,diesel,ročni

Volkswagen,Golf Plus Comfortline 1.9 TDI,2007,109200,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Basis,2004,289700,diesel,ročni

Volkswagen,Touran 1.6 TDI BMT Comfortlin...,2016,87253,diesel,ročni

Volkswagen,Golf Variant Basis 1.9 TDI,2002,387000,diesel,ročni

Volkswagen,Touran 1.9 TDI UGODNO,2007,323000,diesel,ročni

Volkswagen,Tiguan 4motion 2.0 TDI BMT Hi...,2017,89000,diesel,avtomatski

Volkswagen,Tiguan 2.0 TDI  Sport Style  ...,2011,102400,diesel,ročni

Volkswagen,Golf Highline 2.0 TDI,2012,202027,diesel,ročni

Volkswagen,Golf 1.6 TDI Bluemotion Comfo...,2015,120000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Bluemo...,2008,27500,diesel,ročni

Volkswagen,Golf Variant Highline 1.9 TDI,2001,295000,diesel,ročni

Volkswagen,Caddy 1.6 TDI DSG-67.000km-AV...,2011,67900,diesel,avtomatski

Volkswagen,Polo 1.4 TDI BMT Highline-NAV...,2015,101000,diesel,ročni

Volkswagen,Touran 2.0 TDI BMT Highline,2019,14400,diesel,ročni

Volkswagen,Passat Alltrack 4motion 2.0 T...,2016,140000,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT DS...,2015,161000,diesel,avtomatski

Volkswagen,Passat 1.9 TDI Trendline,2005,262000,diesel,ročni

Volkswagen,Passat Variant 2.0 TDI DSG Co...,2016,138879,diesel,avtomatski

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2015,152315,diesel,ročni

Volkswagen,Passat 2.0 TDI BMT Comfortlin...,2015,142000,diesel,ročni

Volkswagen,Passat Variant 1.9 TDI Comfor...,2006,141500,diesel,ročni

Volkswagen,CrossTouran ,2012,163000,diesel,avtomatski

Volkswagen,Touran 2.0 TDI BMT Highline+R...,2015,148000,diesel,ročni

Volkswagen,Golf Comfortline 1.6 TDI,2011,205000,diesel,ročni

Volkswagen,Passat 1.8 T,2003,290000,bencinski,ročni

Volkswagen,Passat Variant 2.0 TDI BMT Co...,2011,26000,diesel,ročni

Volkswagen,Golf 7 1.6 TDI-KLIMA-5 VRAT-A...,2014,99000,diesel,ročni

Volkswagen,Golf Golf 4 Edition SDI,2003,262000,diesel,ročni

Volkswagen,Passat 2.0 TDI-XENON-TEMPOMAT...,2008,250240,diesel,ročni

Volkswagen,Touran 1.4 TSI Highline,2011,130000,bencinski,avtomatski

Volkswagen,Passat Variant 2.0 TDI DSG Co...,2016,137070,diesel,avtomatski

Volkswagen,Golf Variant 1.6 TDI BlueMoti...,2016,163505,diesel,ročni

Volkswagen,Touran 1.4 TSI Trendline,2007,298000,bencinski,ročni

